urban educ  percap  under18 
508  235  3944  325
564  231  4578  323
322  270  4011  328
846  261  5233  305
871  300  4780  303
774  317  5889  307
856  387  5663  301
889  285  5759  310
715  300  4894  300
753  221  5012  324
649  264  4908  329
830  308  5753  320
738  379  5439  337
659  342  4634  328
664  378  4921  330
572  232  4896  318
701  231  4672  309
443  246  4782  333
446  230  4296  330
615  268  4827  318
661  337  5057  304
722  344  5540  328
766  330  5331  323
631  261  4715  317
390  214  3828  310
450  245  4120  321
476  233  3817  342
603  250  4243  339
805  243  4647  287
523  216  3967  325
588  212  3946  315
584  208  3724  332
445  215  3448  358
500  221  3680  320
661  244  3825  355
680  234  4189  306
797  269  4336  335
534  302  4418  335
541  268  4323  344
605  323  4813  331
785  304  5046  324
678  317  3764  366
796  332  4504  340
804  315  4005  378
809  291  5560  330
726  312  4989  313
671  316  4697  305
909  332  5438  307
831  311  5309  333
484  546  5613  386
 
